iter	Passed	Remaining
0	1	145
1	2	131
2	3	125
3	4	118
4	5	113
5	6	109
6	8	106
7	9	105
8	10	102
9	11	100
10	12	98
11	13	98
12	14	95
13	15	93
14	16	91
15	17	89
16	17	87
17	18	85
18	19	83
19	20	80
20	20	78
21	21	77
22	22	75
23	23	73
24	24	72
25	24	70
26	25	68
27	26	67
28	26	65
29	27	64
30	28	62
31	28	61
32	29	60
33	30	59
34	31	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	36	50
42	36	48
43	37	47
44	38	46
45	39	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	40
52	44	39
53	44	38
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
